link,Title,Description,Price,Condition
https://tippecanoe.craigslist.org/app/d/monticello-maytag-electric-dryer/7413257141.html,maytag electric dryer - $150,"maytag electric steam dryer, $150. obo. i have the washer if you want it, needs the hard water build-up flushed out some how. call or text tony @ 2l9-869-8435",$150,NA
https://tippecanoe.craigslist.org/app/d/fishers-platinum-ge-washer-and-dryer/7413211874.html,Platinum GE Washer and Dryer - $495 (Fishers),"We are selling our like new set of Platinum GE high efficiency washer and electric dryer. 1.5 years old. They work awesome, are fully functional and ready to plug in and use immediately. Oversized super capacity no agitator models. These units come from a non-smoking and pet-free home. Just purchased a new spec home and no longer need this set. The set is electric only. $495 for the pair. No holds. Call or text us at 317.four47.zero968.  Thanks for reading our post :)",$495,like new
https://tippecanoe.craigslist.org/ppd/d/washerswasherswashers-save/7413054031.html,WASHERS*WASHERS*WASHERS* $$$ SAVE $$$* DRYERS*DRYERS*DRYERS (LAFAYETTE),"SAMSUNG SUPER Capacity Multi Cycle Washer (STAINLESS STEEL TUB) and a SAMSUNG SUPER Capacity Multi Cycle Electric Dryer They have ALL the latest featuresBoth are LATE MODEL spotless and in EXCELLENT ConditionONLY $649.00 G E HYDRO WAVE SUPER Capacity Multi Cycle Washer (STAINLESS STEEL TUB)  and a G E SUPER Capacity Multi Cycle Electric Dryer (STAINLESS STEEL DRUM)They have ALL the latest featuresBoth are LATE MODEL spotless and in EXCELLENT ConditionYOUR PRICE ONLY $549.00 G E PROFILE HYDRO WAVE SUPER Capacity Multi Cycle Washer (STAINLESS STEEL TUB)  and a G E PROFILE SUPER Capacity Multi Cycle Electric Dryer (STAINLESS STEEL DRUM)They have ALL the latest featuresBoth are LATE MODEL spotless and in EXCELLENT ConditionYOUR PRICE ONLY $379.00 G E HYDRO WAVE SUPER Capacity Multi Cycle Washer (STAINLESS STEEL TUB)  and a G E SUPER Capacity Multi Cycle Electric DryerThey have ALL the latest featuresBoth are LATE MODEL spotless and in EXCELLENT ConditionYOUR PRICE ONLY $379.00GE SUPER Capacity Multi Cycle Washer (STAINLESS STEEL TUB)It has all the latest featuresIt's LATE MODEL spotless and in EXCELLENT ConditionYOUR PRICE ONLY $349.00WHIRLPOOL SUPER CAPACITY Multi Cycle Electric DRYER (STAINLESS STEEL DRUM)It's LATE MODEL spotless and in EXCELLENT ConditionYOUR PRICE ONLY $249.00CHECK US OUT:Trader Buck'sFor The Quality You Deserve2330 Sagamore Pkwy SLafayette, In 479050pen Daily 11 am - 7 pm7 6 5-4 7 1-0 0 0 0We accept: Master Card,Visa, Discover, Diners Club and American Express",NA,NA
https://tippecanoe.craigslist.org/app/d/lafayette-estate-sale-hotpoint-electric/7412981787.html,*ESTATE SALE* Hotpoint Electric Range - $40 (Lafayette),*****ESTATE SALE*****Hotpoint Electric RangeModel R B525G S1ADOven door is currently off for ease of moving.Bottom storage drawer has some rust issues.,$40,good
https://tippecanoe.craigslist.org/app/d/lafayette-price-reduced-estate-sale/7412981032.html,*PRICE REDUCED / ESTATE SALE* Maytag Dishwasher - $15 (Lafayette),*****ESTATE SALE*****Maytag DishwasherModel WU300,$15,good
https://tippecanoe.craigslist.org/app/d/fishers-roper-washer-and-dryer/7409378538.html,Roper Washer and Dryer - $325 (Fishers),Whirlpool Roper Washer and Electric Dryer. About 3 years old. Both work perfectly and are extremely clean inside and out. Super capacity models. Cords and hoses included. $325. Call or text  show contact info.,$325,excellent
https://tippecanoe.craigslist.org/app/d/lafayette-front-load-washer/7408491713.html,Front load washer - $250 (Lafayette downtown),"I have a Crosley front load washer that was used for 1 year. Like new, grandma wanted matching when the dryer went out!",$250,like new
https://tippecanoe.craigslist.org/app/d/fishers-nice-glasslid-he-washer-and/7409026014.html,Nice Glasslid HE Washer and Dryer - $475 (Fishers),Nice Glasslid High Efficiency Washer and Electric Dryer.  Both work A1.  Extremely clean and well maintained.  Super capacity no agitator models.  Cords and hoses included. $475.  Call or text   show contact info.,$475,excellent
https://tippecanoe.craigslist.org/app/d/west-lafayette-ge-dryer/7412654263.html,GE Dryer - $120 (West Lafayette),"- GE Dryer (electric)- Easy to operate, no sensitive electronics that fails all the time- Works reliably, sturdy, clean (some cosmetic wear: chipped paint around the front opening)- Selling on behalf of friends who moved away- Location West Lafayette. Will deliver. We can meet around Purdue campus, or I'm happy to deliver it anywhere in Lafayette/West Lafayette, or along I-65 to the Northern suburbs of Indianapolis (Carmel, Zionsville, Whitestown, etc). Delivery is free, as long as the timing is convenient. - Text 832 three six zero 5405 (please text only initially, I'm not answering direct calls on that line).",$120,good
https://tippecanoe.craigslist.org/app/d/dearing-samsung-front-load-washer-and/7401061661.html,Samsung Front Load Washer and Dryer,"Pair of white Samsung front load washer and dryer with drawer stands.  Bought new and are replacing w newer units.  Washer works great, dryer works but throws an error code when finishing a load.  Have a new dryer heat coil that goes w machine.$350.00 cash buys the pair.  I can help load in your truck on on your trailer.Price Drop $300.00 for the pair.",NA,NA
